-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
0      5	 2       272.855     -1     -1     -1     -1
1      7     5     1343.899     -1     -1     -1     -1
2      10     7     709.322     -1     -1     -1     -1
3      12     10     1265.642     -1     -1     -1     -1
4      19     12     1308.086     -1     -1     -1     -1
5      20     12     2124.158     -1     -1     -1     -1
6      11     10     2148.908     -1     -1     -1     -1
7      9     11     1000.697     -1     -1     -1     -1
8      13     11     1360.928     -1     -1     -1     -1
9      16     13     574.978     -1     -1     -1     -1
10      15     13     471.803     -1     -1     -1     -1
11      17     15     1393.415     -1     -1     -1     -1
12      27     17     3910.265     -1     -1     -1     -1
13      30     17     1845.718     -1     -1     -1     -1
14      18     15     1168.882     -1     -1     -1     -1
15      37     18     2582.373     -1     -1     -1     -1
16      23     18     1881.857     -1     -1     -1     -1
17      26     23     820.411     -1     -1     -1     -1
18      35     26     1916.789     -1     -1     -1     -1
19      33     26     1336.264     -1     -1     -1     -1
20      22     23     3379.834     -1     -1     -1     -1
21      6     7     170.875     -1     -1     -1     -1
22      8     6     641.278     -1     -1     -1     -1
23      4     6     517.623     -1     -1     -1     -1
24      14     4     2334.414     -1     -1     -1     -1
25      21     14     3162.781     -1     -1     -1     -1
26      24     14     1838.259     -1     -1     -1     -1
27      25     24     41.838     -1     -1     -1     -1
28      31     25     2278.696     -1     -1     -1     -1
29      29     25     900.176     -1     -1     -1     -1
30      55     29     3046.834     -1     -1     -1     -1
31      32     29     328.505     -1     -1     -1     -1
32      52     32     2240.24     -1     -1     -1     -1
33      45     52     415.299     -1     -1     -1     -1
34      59     52     274.903     -1     -1     -1     -1
35      77     59     860.4     -1     -1     -1     -1
36      83     77     226.49     17562     1     -1     -1
37      97     83     936.87     -1     -1     17562     1
38      118     97     706.717     -1     -1     -1     -1
39      127     118     235.56     17561     1     -1     -1
40 144     127     342.02     -1     -1     17561     1
41 142     118     538.971     17568     1     -1     -1
42 154     142     426.179     17563     1     17568     1
43 196     154     1098.817     -1     -1     17563     1
44 111     97     909.064     17560     1     -1     -1
45 125     111     530.56     -1     -1     17560     1
46 78     77     29.501     17557     1     -1     -1
47 69     78     1005.49     -1     -1     17557     1
48 67     59     1358.153     -1     -1     -1     -1
49 102     67     1607.685     17566     1     -1     -1
50 122     102     658.513     -1     -1     17566     1
51 128     122     90.444     -1     -1     -1     -1
52 117     128     702.824     17565     1     -1     -1
53 152     117     1519.349     17564     1     17565     1
54 181     152     536.725     -1     -1     17564     1
55 182     181     311.076     -1     -1     -1     -1
56 209     181     738.446     31429     2     -1     -1
57 213     209     454.531     -1     -1     31429     2
58 145     128     252.618     17550     1     -1     -1
59 161     145     335.16     17554     1     17550     1
60 164     161     136.52     -1     -1     17554     1
61 139     122     340.814     17549     1     -1     -1
62 165     139     678.051     -1     -1     17549     1
63 179     165     202.501     17553     1     -1     -1
64 200     179     837.224     -1     -1     17553     1
65 167     165     88.38     17572     1     -1     -1
66 175     167     441.468     -1     -1     17572     1
67 184     175     236.124     -1     -1     -1     -1
68 180     175     801.808     -1     -1     -1     -1
69 64     67     277.899     -1     -1     -1     -1
70 48     64     608.161     -1     -1     -1     -1
71 39     48     984.18     -1     -1     -1     -1
72 36     48     1031.68     -1     -1     -1     -1
73 76     64     1139.841     -1     -1     -1     -1
74 85     76     550.229     17567     1     -1     -1
75 99     85     346.92     30259     2     17567     1
76 104     99     506.274     17559     1     30259     2
77 96	104	594.639	31430	2	17559	1
78 101	96	405.366	-1	-1	31430	2
79 124	101	843.583	17569	1	-1	-1
80 137	124	317.651	-1	-1	17569	1
81 136	101	954.941	-1	-1	-1	-1
82 56	76	1060.449	-1	-1	-1	-1
83 38	56	1397.242	-1	-1	-1	-1
84 43	56	1958.021	-1	-1	-1	-1
85 53	43	550.545	-1	-1	-1	-1
86 44	43	875.369	-1	-1	-1	-1
87 66	44	875.621	-1	-1	-1	-1
88 42	44	1155.631	-1	-1	-1	-1
89 34	32	750.401	-1	-1	-1	-1
90 28	24	2067.591	-1	-1	-1	-1
91 3	4	498.348	-1	-1	-1	-1
92 1	5	1192.944	-1	-1	-1	-1
93 432	422	122.341	-1	-1	-1	-1
94 502	432	917.115	-1	-1	-1	-1
95 562	502	1541.585	-1	-1	-1	-1
96 588	562	697.007	-1	-1	-1	-1
97 594	588	1322.01	-1	-1	-1	-1
98 612	594	1083.86	-1	-1	-1	-1
99 615	612	174.65	-1	-1	-1	-1
100 553	615	1343.617	-1	-1	-1	-1
101 645	615	1114.494	-1	-1	-1	-1
102 644	645	444.333	-1	-1	-1	-1
103 641	644	1157.447	-1	-1	-1	-1
104 649	641	114.193	-1	-1	-1	-1
105 597	649	1710.134	-1	-1	-1	-1
106 699	649	718.453	-1	-1	-1	-1
107 804	699	1622.566	-1	-1	-1	-1
108 685	699	707.82	-1	-1	-1	-1
109 825	641	2541.4	12477	1	-1	-1
110 826	825	16.056	-1	-1	12477	1
111 839	826	129.272	-1	-1	-1	-1
112 848	839	110.382	12478	1	-1	-1
113 873	848	585.97	-1	-1	12478	1
114 898	873	291.959	12457	1	-1	-1
115 934	898	511.304	-1	-1	12457	1
116 889	873	129.059	12476	1	-1	-1
