stream 	 uID 	 dID
0 	 5 	 2
1 	 7 	 5
2 	 10 	 7
3 	 12 	 10
4 	 19 	 12
5 	 20 	 12
6 	 11 	 10
7 	 9 	 11
8 	 13 	 11
9 	 16 	 13
10 	 15 	 13
11 	 17 	 15
12 	 27 	 17
13 	 30 	 17
14 	 18 	 15
15 	 37 	 18
16 	 23 	 18
17 	 26 	 23
18 	 35 	 26
19 	 33 	 26
20 	 22 	 23
21 	 6 	 7
22 	 8 	 6
23 	 4 	 6
24 	 14 	 4
25 	 21 	 14
26 	 24 	 14
27 	 25 	 24
28 	 31 	 25
29 	 29 	 25
30 	 55 	 29
31 	 32 	 29
32 	 52 	 32
33 	 45 	 52
34 	 59 	 52
35 	 77 	 59
36 	 83 	 77
37 	 97 	 83
38 	 118 	 97
39 	 127 	 118
40 	 144 	 127
41 	 142 	 118
42 	 154 	 142
43 	 196 	 154
44 	 111 	 97
45 	 125 	 111
46 	 78 	 77
47 	 69 	 78
48 	 67 	 59
49 	 102 	 67
50 	 122 	 102
51 	 128 	 122
52 	 117 	 128
53 	 152 	 117
54 	 181 	 152
55 	 182 	 181
56 	 209 	 181
57 	 213 	 209
58 	 145 	 128
59 	 161 	 145
60 	 164 	 161
61 	 139 	 122
62 	 165 	 139
63 	 179 	 165
64 	 200 	 179
65 	 167 	 165
66 	 175 	 167
67 	 184 	 175
68 	 180 	 175
69 	 64 	 67
70 	 48 	 64
71 	 39 	 48
72 	 36 	 48
73 	 76 	 64
74 	 85 	 76
75 	 99 	 85
76 	 104 	 99
77 	 96 	 104
78 	 101 	 96
79 	 124 	 101
80 	 137 	 124
81 	 136 	 101
82 	 56 	 76
83 	 38 	 56
84 	 43 	 56
85 	 53 	 43
86 	 44 	 43
87 	 66 	 44
88 	 42 	 44
89 	 34 	 32
90 	 28 	 24
91 	 3 	 4
92 	 1 	 5
93 	 432 	 422
94 	 502 	 432
95 	 562 	 502
96 	 588 	 562
97 	 594 	 588
98 	 612 	 594
99 	 615 	 612
100 	 553 	 615
101 	 645 	 615
102 	 644 	 645
103 	 641 	 644
104 	 649 	 641
105 	 597 	 649
106 	 699 	 649
107 	 804 	 699
108 	 685 	 699
109 	 825 	 641
110 	 826 	 825
111 	 839 	 826
112 	 848 	 839
113 	 873 	 848
114 	 898 	 873
115 	 934 	 898
116 	 889 	 873
117 	 950 	 889
118 	 1023 	 950
119 	 1035 	 950
120 	 1048 	 1035
121 	 949 	 839
122 	 830 	 826
123 	 884 	 830
124 	 589 	 644
125 	 832 	 645
126 	 901 	 832
127 	 876 	 832
128 	 548 	 612
129 	 539 	 594
130 	 543 	 539
131 	 538 	 539
132 	 662 	 588
133 	 666 	 662
134 	 700 	 666
135 	 734 	 700
136 	 684 	 700
137 	 763 	 666
138 	 779 	 763
139 	 823 	 779
140 	 821 	 779
141 	 865 	 763
142 	 742 	 662
143 	 819 	 742
144 	 754 	 742
145 	 593 	 562
146 	 606 	 593
147 	 663 	 593
148 	 731 	 663
149 	 727 	 663
150 	 434 	 432
151 	 471 	 434
152 	 502 	 471
153 	 488 	 471
154 	 491 	 488
155 	 498 	 491
156 	 501 	 498
157 	 534 	 501
158 	 514 	 501
159 	 584 	 514
160 	 555 	 514
161 	 469 	 498
162 	 527 	 469
163 	 443 	 469
164 	 425 	 443
165 	 426 	 425
166 	 492 	 426
167 	 418 	 426
168 	 408 	 418
169 	 395 	 408
170 	 516 	 408
171 	 521 	 418
172 	 426 	 425
173 	 508 	 443
174 	 423 	 491
175 	 576 	 488
176 	 412 	 434
177 	 724 	 722
178 	 737 	 724
179 	 756 	 737
180 	 775 	 756
181 	 831 	 775
182 	 834 	 831
183 	 891 	 834
184 	 941 	 891
185 	 971 	 941
186 	 1034 	 941
187 	 1172 	 1034
188 	 1232 	 1172
189 	 1331 	 1232
190 	 1210 	 1232
191 	 1220 	 1210
192 	 1239 	 1220
193 	 1235 	 1239
194 	 1230 	 1235
195 	 1236 	 1230
196 	 1201 	 1236
197 	 1178 	 1201
198 	 1184 	 1236
199 	 1168 	 1184
200 	 1132 	 1168
201 	 1294 	 1239
202 	 1356 	 1294
203 	 1364 	 1356
204 	 1411 	 1364
205 	 1404 	 1411
206 	 1381 	 1404
207 	 1393 	 1381
208 	 1397 	 1393
209 	 1455 	 1397
210 	 1461 	 1455
211 	 1510 	 1461
212 	 1479 	 1510
213 	 1473 	 1479
214 	 1520 	 1473
215 	 1626 	 1520
216 	 1659 	 1626
217 	 1678 	 1659
218 	 1785 	 1678
219 	 1811 	 1785
220 	 1630 	 1811
221 	 1534 	 1630
222 	 1820 	 1785
223 	 1843 	 1820
224 	 1875 	 1843
225 	 1896 	 1875
226 	 1894 	 1896
227 	 1784 	 1894
228 	 2101 	 1875
229 	 2146 	 2101
230 	 2145 	 2146
231 	 2142 	 2145
232 	 2143 	 2142
233 	 2130 	 2143
234 	 2141 	 2130
235 	 2144 	 2141
236 	 2206 	 2144
237 	 2215 	 2206
238 	 2377 	 2215
239 	 2278 	 2377
240 	 2263 	 2278
241 	 2284 	 2263
242 	 2285 	 2284
243 	 2271 	 2285
244 	 2253 	 2263
245 	 2195 	 2253
246 	 2185 	 2195
247 	 2177 	 2185
248 	 2664 	 2377
249 	 2081 	 2141
250 	 2055 	 2081
251 	 2045 	 2055
252 	 2065 	 2045
253 	 2064 	 2065
254 	 1997 	 2081
255 	 1966 	 1997
256 	 2085 	 2130
257 	 2159 	 2101
258 	 2216 	 2159
